DISTRITO,PROVINCIA,LAT_DIST,LON_DIST
ALTO AMAZONAS - YURIMAGUAS,ALTO AMAZONAS - YURIMAGUAS,-6.0480174,-76.176799
BALSAPUERTO,ALTO AMAZONAS,-5.831621,-76.5598614
SANTA CRUZ,ALTO AMAZONAS,-5.5133345,-75.8586131
JEBEROS,ALTO AMAZONAS,-5.2909218,-76.2837612
TENIENTE CESAR LOPEZ ROJAS,ALTO AMAZONAS,-5.94343,-75.786298
BARRANCA,DATEM DEL MARAÑON,-4.8261658,-76.6889606
MORONA,DATEM DEL MARAÑON,-3.8124232,-77.3569829
MANSERICHE,DATEM DEL MARAÑON,-4.6731848,-77.4906617
ANDOAS,DATEM DEL MARAÑON,-3.3754615,-76.6396161
CAHUAPANAS,DATEM DEL MARAÑON,-5.297035,-76.9390014
PASTAZA,DATEM DEL MARAÑON,-4.0593301,-76.9192778
TROMPETEROS,LORETO,-3.0999989,-75.8735112
NAUTA,LORETO,-4.5070455,-73.5740018
TIGRE,LORETO,-3.0555554,-75.2118391
URARINAS,LORETO,-4.2547901,-75.4420923
PARINARI,LORETO,-4.6305467,-74.4597653
YAVARI,MARISCAL RAMON CASTILLA,-4.5837236,-72.4931689
SAN PABLO,MARISCAL RAMON CASTILLA,-3.7162678,-71.3968802
PEBAS,MARISCAL RAMON CASTILLA,-3.3206285,-71.8617562
RAMON CASTILLA,MARISCAL RAMON CASTILLA,-3.6673043,-70.9051289
SANTA ROSA DE LORETO,MARISCAL RAMON CASTILLA,-4.2261773,-69.9561179
MARISCAL RAMON CASTILLA - CABALLOCOCHA,MARISCAL RAMON CASTILLA - CABALLOCOCHA,-3.9091,-70.517
NAPO,MAYNAS,-2.0495547,-74.5349201
SAN JUAN BAUTISTA,MAYNAS,-4.0779873,-73.5219454
BELEN,MAYNAS,-3.849332,-73.2524399
YAQUERANA,REQUENA,-6.0419797,-73.411479
MAZAN,MAYNAS,-3.4976682,-73.0894632
INDIANA,MAYNAS,-3.4996924,-73.041948
LAS AMAZONAS,MAYNAS,-3.6036304,-72.4786307
FERNANDO LORES,MAYNAS,-4.2585911,-73.0632445
MAYNAS,MAYNAS,-3.4829449,-73.4445841
ALTO NANAY,MAYNAS,-3.2681319,-74.3097829
TORRES CAUSANA,MAYNAS,-1.1016433,-75.0058097
PUTUMAYO,PUTUMAYO,-2.3030502,-73.4160112
YAGUAS,PUTUMAYO,-2.8166461,-71.0626175
TENIENTE MANUEL CLAVERO,PUTUMAYO,-0.7447078,-74.7655759
ROSA PANDURO,PUTUMAYO,-1.6095645,-73.7127933
REQUENA,REQUENA,-5.0636942,-73.8563645
CAPELO,REQUENA,-5.3786707,-74.1666836
JENARO HERRERA,REQUENA,-4.9055783,-73.6686202
MAQUIA,REQUENA,-6.4287985,-74.7975616
ALTO TAPICHE,REQUENA,-6.7402458,-74.2664583
SAQUENA,REQUENA,-4.7735601,-73.387296
SOPLIN,REQUENA,-6.2670638,-73.6559796
PUINAHUA,REQUENA,-5.6023188,-74.9306871
EMILIO SAN MARTIN,REQUENA,-6.2736324,-74.5306917
TAPICHE,REQUENA,-6.0299214,-73.9443246
